id,value,feed_id,created_at,lat,lon,ele
0FPV5GE1439A8X1DAHJ3FMA7KP,531,2896360,2024-10-01 09:54:29 UTC,,,
0FPV5H0B2JHV7DK106C6KN7D7Y,506,2896360,2024-10-01 09:55:29 UTC,,,
0FPV5HJN9DVR5A5G1HVAHST9RR,525,2896360,2024-10-01 09:56:29 UTC,,,
0FPV5J4Z72ZVW1JM8KMH5HP1CF,529,2896360,2024-10-01 09:57:29 UTC,,,
0FPV5JQ9DE2RJHR7ZPQQ58WYY9,528,2896360,2024-10-01 09:58:29 UTC,,,
0FPV5K9K2P202GXNZAZBFFG7PC,523,2896360,2024-10-01 09:59:29 UTC,,,
0FPV5KVX1HNQ537SH92F759SW4,511,2896360,2024-10-01 10:00:29 UTC,,,
0FPV5ME72C1NFMRA0YKGFBG41W,526,2896360,2024-10-01 10:01:29 UTC,,,
0FPV5N0H0TKBP6TJ276FEG0AEY,511,2896360,2024-10-01 10:02:29 UTC,,,
0FPV5NJV216V245NXA7E4H93NZ,511,2896360,2024-10-01 10:03:29 UTC,,,
0FPV5P552G6MGR3JZ4XN9E3QNC,527,2896360,2024-10-01 10:04:29 UTC,,,
0FPV5PQF41RF111QNTB8KXX0SD,506,2896360,2024-10-01 10:05:29 UTC,,,
0FPV5Q9S0N1YHRDBB42ET6JPYF,511,2896360,2024-10-01 10:06:29 UTC,,,
0FPV5QW30WEP268RPJW9QPFKCY,506,2896360,2024-10-01 10:07:29 UTC,,,
0FPV5RED3BHCJHM6BM3PK94MVX,510,2896360,2024-10-01 10:08:30 UTC,,,
0FPV5S0Q4N4WJ0N9BTWR5RDQRN,511,2896360,2024-10-01 10:09:30 UTC,,,
0FPV5SK10KG2MQFE8X3CJP2BS0,506,2896360,2024-10-01 10:10:30 UTC,,,
0FPV5T5B2ZX4NVFDYWWN70XYAH,511,2896360,2024-10-01 10:11:30 UTC,,,
0FPV5TQMYVS29GZDNADH9S11HF,503,2896360,2024-10-01 10:12:30 UTC,,,
0FPV5V9YZJ468ERBS5EGCGP8Z5,511,2896360,2024-10-01 10:13:30 UTC,,,
0FPV5VW92E64BHFDEKYKPP7WTE,506,2896360,2024-10-01 10:14:30 UTC,,,
0FPV5WEJZE6PJ7YY24QVF2GRD4,503,2896360,2024-10-01 10:15:30 UTC,,,
0FPV5X0WX9DDFK87CB1S9Y6GD9,510,2896360,2024-10-01 10:16:30 UTC,,,
0FPV5XK6W7WW467VW4N9FAKQ1C,505,2896360,2024-10-01 10:17:30 UTC,,,
0FPV5Y5H06BG6PF4QGXMXAZBWQ,502,2896360,2024-10-01 10:18:30 UTC,,,
0FPV5YQTVXG0J2M94FMN1YQZZA,499,2896360,2024-10-01 10:19:30 UTC,,,
0FPV5ZA4T304MAQPRQTCYJ2PWE,506,2896360,2024-10-01 10:20:30 UTC,,,
0FPV5ZWESD3DRFFFDCKX25DV2W,496,2896360,2024-10-01 10:21:30 UTC,,,
0FPV60ERSC0ZFCVD9EH6NG3H0H,503,2896360,2024-10-01 10:22:30 UTC,,,
0FPV6112RZ41EW6SK7DTYXX520,498,2896360,2024-10-01 10:23:30 UTC,,,
0FPV61KCWYP7MFR0XM82TDEY1H,497,2896360,2024-10-01 10:24:30 UTC,,,
0FPV625PSHXZZC0718EJ69R3VJ,500,2896360,2024-10-01 10:25:30 UTC,,,
0FPV62R0RKS72Q5PMZ6FJTBW2V,497,2896360,2024-10-01 10:26:30 UTC,,,
0FPV63AAQVER88FWMNJTRF617J,482,2896360,2024-10-01 10:27:30 UTC,,,
0FPV63WMPHFSHH2PC09P1Z99Q3,493,2896360,2024-10-01 10:28:30 UTC,,,
0FPV64EYPXNDF71FFR26XY9C2E,496,2896360,2024-10-01 10:29:30 UTC,,,
0FPV6518R0ANYTHS613KTA1GNF,495,2896360,2024-10-01 10:30:30 UTC,,,
0FPV65KJNSMRNF2G8G7JF4F765,496,2896360,2024-10-01 10:31:30 UTC,,,
0FPV665WP4WTQS9PAPQRQHAT80,493,2896360,2024-10-01 10:32:30 UTC,,,
0FPV66R6MH18P39V8FT5R0HCRR,496,2896360,2024-10-01 10:33:30 UTC,,,
0FPV67AGM596CG0DEFP3BXV2FX,491,2896360,2024-10-01 10:34:30 UTC,,,
0FPV67WTJWYT7D7BA7MRB5FHE7,491,2896360,2024-10-01 10:35:30 UTC,,,
0FPV68F4JNZ9R8K0K6725T9VCX,496,2896360,2024-10-01 10:36:30 UTC,,,
0FPV691EKD60CSFQR9N06T33AM,496,2896360,2024-10-01 10:37:30 UTC,,,
0FPV69KRJTTWV0B11KXNPQPEHG,495,2896360,2024-10-01 10:38:30 UTC,,,
0FPV6A62JV84K0ZC3ZMN42E4BS,494,2896360,2024-10-01 10:39:30 UTC,,,
0FPV6ARCK4AVV2FBTWD2RQN8SW,477,2896360,2024-10-01 10:40:30 UTC,,,
0FPV6BAPKT2MQYP8572XKJ93GC,496,2896360,2024-10-01 10:41:30 UTC,,,
0FPV6BX0K7HMM7KN6JG0Z7JY1X,490,2896360,2024-10-01 10:42:30 UTC,,,
0FPV6CFAJW0XHJY8ZWS0PH24GK,495,2896360,2024-10-01 10:43:30 UTC,,,
0FPV6D1MKQSWG2ZK4F217T29TP,484,2896360,2024-10-01 10:44:30 UTC,,,
0FPV6DKYJD2ZDDJKQVJJJ3AMBC,487,2896360,2024-10-01 10:45:30 UTC,,,
0FPV6E68JHXMV6PJYQ8RF3T0Z1,493,2896360,2024-10-01 10:46:30 UTC,,,
0FPV6ERJJB2EJVGHKK0RX6V52M,484,2896360,2024-10-01 10:47:30 UTC,,,
0FPV6FAWG09JSY255HK9SR5G4C,502,2896360,2024-10-01 10:48:30 UTC,,,
0FPV6FX6FHZDYFF6TWW4SQTDZK,491,2896360,2024-10-01 10:49:30 UTC,,,
0FPV6GFGEZE9ARGAG95P1P8600,455,2896360,2024-10-01 10:50:30 UTC,,,
